title_checkouts,id_checkouts,author_checkouts,Title,work_id,best_book_id,author_goodreads,title_goodreads,tier
where the red fern grows,95986,wilson rawls,Where the Red Fern Grows,115,10365,wilson rawls,where the red fern grows,exact
where the red fern grows unabridged,174313,wilson rawls,Where the Red Fern Grows (Unabridged),115,10365,wilson rawls,where the red fern grows,wgt_jaccard_0.15
where the red fern grows,425217,,Where the Red Fern Grows,115,10365,wilson rawls,where the red fern grows,exact
the forever war,35277,joe haldeman w,The forever war / Joe Haldeman.,423,21611,joe haldeman,the forever war,exact
the forever war forever war series book 1,162131,joe haldeman,"The Forever War: Forever War Series, Book 1",423,21611,joe haldeman,the forever war,wgt_jaccard_0.5
a supposedly fun thing i ll never do again essays and arguments,76467,david foster wallace,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,574,6748,david foster wallace,a supposedly fun thing i ll never do again essays and arguments,exact
a supposedly fun thing i ll never do again essays and arguments,166709,david wallace foster,A supposedly fun thing I'll never do again : essays and arguments / David Foster Wallace.,574,6748,david foster wallace,a supposedly fun thing i ll never do again essays and arguments,exact
to say nothing of the dog,213749,connie willis,To Say Nothing of the Dog,696,77773,connie willis,to say nothing of the dog,exact
over sea under stone,182890,susan cooper,"Over sea, under stone / Susan Cooper.",742,11312,susan cooper,over sea under stone,exact
world war z an oral history of the zombie war,126451,max brooks,World War Z: An Oral History of the Zombie War,817,8908,max brooks,world war z an oral history of the zombie war,exact
world war z an oral history of the zombie war abridged abridged,205553,max brooks,World War Z: An Oral History of the Zombie War (abridged) (Abridged),817,8908,max brooks,world war z an oral history of the zombie war,wgt_jaccard_0.15
the complete stories,73534,flannery o connor,The Complete Stories,904,38068,zora neale hurston,the complete stories,exact
the complete stories,155235,clarice lispector,The Complete Stories,904,38068,zora neale hurston,the complete stories,exact
the complete stories,541773,david malouf,The Complete Stories,904,38068,zora neale hurston,the complete stories,exact
the complete stories,1268938,bernard malamud,The Complete Stories,904,38068,zora neale hurston,the complete stories,exact
the stranger,54996,harlan coben,The stranger / Harlan Coben.,971,308858,caroline b cooney,the stranger,exact
the stranger,129837,albert camus,The stranger / Albert Camus ; translated from the French by Matthew Ward.,971,308858,caroline b cooney,the stranger,exact
the stranger,201054,caroline b cooney,The Stranger,971,308858,caroline b cooney,the stranger,exact
the stranger,280527,billy joel,The Stranger,971,308858,caroline b cooney,the stranger,exact
the stranger,454277,,The Stranger,971,308858,caroline b cooney,the stranger,exact
flat stanley at bat,42859,lori houran haskins,Flat Stanley at bat / created by Jeff Brown ; by Lori Haskins Houran ; pictures by Macky Pamintuan.,1132,348564,jeff brown,flat stanley,wgt_jaccard_0.5
flat stanley,70940,jeff brown,Flat Stanley / Jeff Brown ; pictures by Tomi Ungerer.,1132,348564,jeff brown,flat stanley,exact
flat stanley on ice,87584,lori houran haskins,Flat Stanley on ice / created by Jeff Brown ; by Lori Haskins Houran ; pictures by Macky Pamintuan.,1132,348564,jeff brown,flat stanley,wgt_jaccard_0.45
flat stanley goes camping,173744,lori houran haskins,Flat Stanley goes camping / created by Jeff Brown ; [written] by Lori Haskins Houran ; pictures by Macky Pamintuan.,1132,348564,jeff brown,flat stanley,wgt_jaccard_0.5
truth like the sun,46571,jim lynch,Truth Like the Sun,1538,16241209,anthony burgess,nothing like the sun,wgt_jaccard_0.5
isaac s storm,27318,erik larson,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",1605,239186,erik larson,isaac s storm,exact
goldfish ghost,186590,lemony snicket,Goldfish Ghost / Lemony Snicket ; illustrated by Lisa Brown.,1625,4654437,raymond chandler,goldfish,wgt_jaccard_0.45
curtain poirot s last case hercule poirot series book 39 unabridged unabridged,122559,agatha christie,"Curtain: Poirot's Last Case: Hercule Poirot Series, Book 39 (unabridged) (Unabridged)",1726,81903,agatha christie,curtain poirot s last case,wgt_jaccard_0.5
curtain poirot s last case hercule poirot series book 39,228296,agatha christie,"Curtain: Poirot's Last Case: Hercule Poirot Series, Book 39",1726,81903,agatha christie,curtain poirot s last case,wgt_jaccard_0.45
